lat,lon
2.016603,98.962408
2.016609,98.962434
2.016611,98.962483
2.016603,98.962523
2.016563,98.962598
2.016523,98.962634
2.016472,98.962659
2.016024,98.962816
2.015384,98.962885
2.015389,98.962917
2.016023,98.962849
2.016057,98.962840
2.016368,98.962728
2.016636,98.962792
2.016678,98.962836
2.016688,98.962934
2.016554,98.963216
2.016594,98.963216
2.016723,98.962940
2.016712,98.962821
2.016653,98.962762
2.016430,98.962707
2.016483,98.962689
2.016540,98.962660
2.016588,98.962617
2.016632,98.962536
2.016642,98.962485
2.016641,98.962455
2.016603,98.962408
