lat,lon
2.020284,98.974548
2.019433,98.973749
2.019198,98.973483
2.019126,98.973390
2.018960,98.973245
2.018746,98.973074
2.018546,98.972884
2.018422,98.972821
2.018351,98.972803
2.018261,98.972762
2.018212,98.972728
2.018122,98.972627
2.018074,98.972553
2.018011,98.972494
2.017789,98.972386
2.017609,98.972161
2.017548,98.971990
2.017511,98.971840
2.017501,98.971725
2.017479,98.971570
2.017413,98.971347
2.017389,98.971214
2.017288,98.970872
2.017253,98.970770
2.017225,98.970699
2.017184,98.970668
2.017155,98.970662
2.017166,98.970487
2.017129,98.970404
2.017099,98.970424
2.017131,98.970494
2.017118,98.970689
2.017171,98.970699
2.017199,98.970720
2.017357,98.971220
2.017382,98.971353
2.017424,98.971484
2.017449,98.971575
2.017481,98.971845
2.017516,98.971996
2.017582,98.972174
2.017682,98.972309
2.017768,98.972413
2.017994,98.972521
2.018048,98.972573
2.018096,98.972644
2.018192,98.972753
2.018243,98.972789
2.018339,98.972832
2.018407,98.972851
2.018525,98.972908
2.018726,98.973097
2.019032,98.973341
2.019102,98.973410
2.019175,98.973502
2.019409,98.973771
2.020250,98.974561
2.020284,98.974548
