lat,lon
2.016745,98.963756
2.016890,98.964390
2.017085,98.964335
2.017095,98.964364
2.016451,98.964548
2.016414,98.964575
2.016424,98.964670
2.016589,98.965193
2.016808,98.965151
2.016765,98.964902
2.016798,98.964898
2.016843,98.965145
2.017132,98.965084
2.017096,98.964872
2.017090,98.964803
2.017091,98.964589
2.017077,98.964493
2.017352,98.964487
2.017505,98.964442
2.017520,98.964475
2.017357,98.964522
2.017113,98.964527
2.017123,98.964585
2.017123,98.964799
2.017128,98.964867
2.017188,98.965227
2.017206,98.965368
2.017176,98.965373
2.017139,98.965119
2.016600,98.965227
2.016786,98.965825
2.016756,98.965833
2.016393,98.964675
2.016380,98.964563
2.016410,98.964537
2.016227,98.964417
2.016161,98.964145
2.016191,98.964135
2.016256,98.964394
2.016444,98.964518
2.016858,98.964400
2.016804,98.964162
2.016619,98.964184
2.016456,98.964242
2.016447,98.964209
2.016611,98.964150
2.016796,98.964127
2.016715,98.963763
2.016745,98.963756
