lat,lon
2.017172,98.963103
2.017144,98.963105
2.016941,98.963169
2.016879,98.963184
2.016836,98.963200
2.016728,98.963212
2.016537,98.963216
2.016521,98.963212
2.016512,98.963204
2.016467,98.963140
2.016443,98.963129
2.016421,98.963124
2.016404,98.963124
2.016374,98.963129
2.016228,98.963177
2.016057,98.962841
2.016022,98.962849
2.016209,98.963216
2.016380,98.963160
2.016408,98.963155
2.016432,98.963158
2.016445,98.963164
2.016467,98.963199
2.016488,98.963225
2.016505,98.963240
2.016534,98.963248
2.016729,98.963243
2.016845,98.963229
2.016888,98.963214
2.016953,98.963199
2.017151,98.963136
2.017197,98.963134
2.017172,98.963103
