lat,lon
2.019507,98.976494
2.019344,98.976538
2.018042,98.976923
2.017868,98.976970
2.017642,98.977016
2.017496,98.977018
2.017430,98.977031
2.017383,98.977055
2.017299,98.977119
2.016971,98.977193
2.016855,98.976860
2.016852,98.976829
2.016835,98.976805
2.016794,98.976793
2.016761,98.976792
2.016645,98.976460
2.016618,98.976470
2.016732,98.976807
2.016757,98.976824
2.016789,98.976825
2.016816,98.976830
2.016948,98.977217
2.016962,98.977323
2.017020,98.977443
2.017009,98.977406
2.016980,98.977225
2.017295,98.977151
2.017817,98.978946
2.017556,98.979039
2.017432,98.978647
2.017403,98.978659
2.017526,98.979051
2.016997,98.979256
2.017013,98.979294
2.020582,98.977933
2.020562,98.977903
2.017847,98.978927
2.017324,98.977140
2.017396,98.977083
2.017437,98.977062
2.017496,98.977050
2.017643,98.977047
2.017878,98.976999
2.018490,98.976823
2.018933,98.976693
2.019044,98.977080
2.019076,98.977071
2.018966,98.976683
2.019513, 98.976526
2.019507,98.976494
