lat,lon
2.016176,98.979607
2.015771,98.979771
2.015775,98.979796
2.015797,98.979847
2.015815,98.979863
2.015842,98.979895
2.015869,98.979948
2.015960,98.980219
2.015990,98.980341
2.016030,98.980471
2.016088,98.980553
2.016139,98.980700
2.016110,98.980712
2.016061,98.980569
2.016001,98.980486
2.015937,98.980254
2.015842,98.979961
2.015817,98.979914
2.015794,98.979887
2.015772,98.979867
2.015745,98.979806
2.015740,98.979782
2.015641,98.979818
2.015805,98.980309
2.015779,98.980317
2.015611,98.979830
2.015218,98.979998
2.015205,98.979958
2.015664,98.979764
2.016176,98.979607
