lat,lon
2.012989,98.963151
2.013043,98.963357
2.013149,98.963550
2.013173,98.963697
2.012757,98.963764
2.012641,98.963621
2.012508,98.963674
2.012475,98.963691
2.012432,98.963721
2.012286,98.963789
2.012286,98.963751
2.012412,98.963692
2.012477,98.963646
2.012636,98.963584
2.012661,98.963562
2.012670,98.963538
2.012672,98.963506
2.012617,98.963230
2.012651,98.963225
2.012708,98.963504
2.012705,98.963544
2.012689,98.963580
2.012671,98.963600
2.012770,98.963726
2.013131,98.963668
2.013115,98.963562
2.013009,98.963370
2.012955,98.963158
2.012989,98.963151
