lat,lon
2.019697,98.975730
2.019473,98.975537
2.019376,98.975468
2.019269,98.975405
2.019165,98.975360
2.019084,98.975353
2.018982,98.975370
2.018900,98.975390
2.018835,98.975398
2.018748,98.975374
2.018495,98.975208
2.018237,98.975063
2.018088,98.974994
2.017314,98.974690
2.016789,98.974520
2.016109,98.974380
2.015985,98.974357
2.015933,98.974336
2.015882,98.974329
2.015826,98.974329
2.015556,98.974401
2.015571,98.974432
2.015829,98.974364
2.015878,98.974364
2.015924,98.974371
2.015977,98.974392
2.016777,98.974554
2.017063,98.974648
2.017066,98.974833
2.017177,98.975362
2.017209,98.975353
2.017102,98.974819
2.017098,98.974660
2.017305,98.974723
2.018072,98.975026
2.018223,98.975098
2.018731,98.975405
2.018833,98.975432
2.018906,98.975424
2.018984,98.975406
2.019085,98.975388
2.019156,98.975393
2.019249,98.975434
2.019355,98.975495
2.019704,98.975781
2.019697,98.975730
