lat,lon
2.015293,98.964100
2.015183,98.964131
2.013819,98.964426
2.013752,98.964085
2.013697,98.963845
2.013256,98.963164
2.013202,98.963112
2.013178,98.963097
2.013152,98.963088
2.013128,98.963087
2.013088,98.963091
2.012641,98.963192
2.012537,98.963012
2.012452,98.962797
2.012390,98.962596
2.012359,98.962471
2.012361,98.962455
2.012363,98.962436
2.012372,98.962427
2.012725,98.962291
2.012744,98.962275
2.012755,98.962248
2.012757,98.962216
2.012634,98.961822
2.012504,98.961358
2.012474,98.961376
2.012721,98.962216
2.012720,98.962241
2.012713,98.962257
2.012350,98.962400
2.012336,98.962414
2.012327,98.962432
2.012324,98.962451
2.012325,98.962476
2.012356,98.962604
2.012419,98.962806
2.012504,98.963024
2.012615,98.963215
2.012618,98.963231
2.013098,98.963126
2.013129,98.963122
2.013145,98.963122
2.013163,98.963128
2.013181,98.963140
2.013231,98.963186
2.013663,98.963854
2.013784,98.964434
2.013227,98.964573
2.012977,98.964645
2.012755,98.964734
2.012259,98.964895
2.012258,98.964933
2.012470,98.964867
2.012765,98.964767
2.012987,98.964679
2.013239,98.964606
2.013450,98.964556
2.013808,98.964463
2.013945,98.964436
2.014547,98.964303
2.015063,98.964194
2.015137,98.964514
2.015202,98.964616
2.015218,98.964833
2.015254,98.964830
2.015236,98.964605
2.015170,98.964502
2.015098,98.964186
2.015205,98.964161
2.015342,98.964122
2.015293,98.964100
