lat,lon
2.019947,98.968786
2.019893,98.968775
2.019813,98.968782
2.019475,98.968914
2.019183,98.969018
2.019146,98.969029
2.018851,98.969144
2.018669,98.969120
2.018610,98.969048
2.018556,98.968997
2.018476,98.968949
2.018288,98.968938
2.018135,98.968916
2.017856,98.968739
2.017878,98.968519
2.017757,98.968050
2.017693,98.968063
2.017805,98.968527
2.017789,98.968699
2.017736,98.968680
2.017377,98.968581
2.016873,98.968527
2.016363,98.968363
2.016156,98.968360
2.016129,98.968394
2.016113,98.968491
2.016133,98.968981
2.016113,98.969046
2.016097,98.969073
2.016039,98.969125
2.015922,98.969129
2.015678,98.969091
2.012746,98.968487
2.012175,98.968313
2.012182,98.968375
2.012742,98.968547
2.014764,98.968954
2.014828,98.969566
2.014881,98.969555
2.014825,98.968970
2.015632,98.969142
2.015635,98.969225
2.015651,98.969279
2.015667,98.969408
2.015871,98.970207
2.015708,98.970238
2.015220,98.970415
2.015161,98.970506
2.015177,98.970667
2.015142,98.970713
2.013869,98.971209
2.013711,98.971440
2.013579,98.971558
2.013574,98.971687
2.013636,98.971687
2.013646,98.971598
2.013767,98.971480
2.013914,98.971258
2.015182,98.970769
2.015244,98.970681
2.015231,98.970525
2.015265,98.970472
2.015740,98.970300
2.015890,98.970276
2.015931,98.970458
2.015984,98.970574
2.016049,98.970593
2.016754,98.970480
2.016762,98.970499
2.016762,98.970536
2.016794,98.970646
2.016839,98.970692
2.016882,98.970705
2.017113,98.970700
2.017105,98.970641
2.016888,98.970646
2.016866,98.970638
2.016845,98.970611
2.016826,98.970528
2.016823,98.970491
2.016815,98.970466
2.016939,98.970448
2.016952,98.970453
2.017089,98.970442
2.017150,98.970405
2.017196,98.970158
2.017150,98.969957
2.017290,98.969850
2.017520,98.969769
2.017510,98.969726
2.017247,98.969799
2.017091,98.969922
2.017129,98.970158
2.017089,98.970370
2.016944,98.970381
2.016928,98.970394
2.016046,98.970539
2.016025,98.970525
2.015984,98.970437
2.015719,98.969399
2.015706,98.969254
2.015698,98.969211
2.015698,98.969144
2.015915,98.969182
2.016057,98.969182
2.016137,98.969120
2.016340,98.969206
2.016897,98.969281
2.016967,98.969334
2.017042,98.969503
2.017093,98.969474
2.017028,98.969294
2.016918,98.969214
2.016353,98.969139
2.016173,98.969055
2.016189,98.968988
2.016189,98.968886
2.016168,98.968495
2.016187,98.968414
2.016356,98.968422
2.016865,98.968581
2.017364,98.968636
2.017713,98.968731
2.017787,98.968763
2.017817,98.968781
2.018117,98.968966
2.018222,98.968988
2.018346,98.969662
2.018396,98.969649
2.018281,98.968997
2.018464,98.969004
2.018527,98.969040
2.018549,98.969065
2.018524,98.969099
2.018522,98.969146
2.018756,98.969957
2.018784,98.969947
2.018560,98.969146
2.018563,98.969119
2.018580,98.969094
2.018589,98.969110
2.018615,98.969138
2.018649,98.969163
2.018717,98.969184
2.018774,98.969192
2.018861,98.969202
2.019158,98.969090
2.019310,98.969412
2.019369,98.969377
2.019222,98.969062
2.019442,98.968978
2.019493,98.968973
2.019820,98.968836
2.019906,98.968837
2.019960,98.968847
2.019947,98.968786
