lat,lon
2.019174,98.965545
2.018902,98.965697
2.018575,98.965854
2.018197,98.965979
2.017872,98.966067
2.016895,98.966269
2.015208,98.966898
2.014752,98.967114
2.014241,98.967304
2.013964,98.967346
2.013944,98.967351
2.013934,98.967357
2.013617,98.967365
2.013510,98.967402
2.013555,98.967864
2.013486,98.968204
2.013520,98.968215
2.013590,98.967867
2.013548,98.967426
2.013623,98.967400
2.013906,98.967394
2.013905,98.967443
2.014012,98.967995
2.014044,98.967986
2.013937,98.967442
2.013942,98.967391
2.013954,98.967383
2.014234,98.967338
2.014381,98.968086
2.014412,98.968081
2.014265,98.967329
2.014766,98.967143
2.015222,98.966926
2.015994,98.966612
2.016366,98.966485
2.016401,98.966685
2.016543,98.966996
2.016575,98.966983
2.016435,98.966674
2.016401,98.966473
2.016904,98.966299
2.017187,98.966243
2.017343,98.966938
2.017378,98.966927
2.017222,98.966238
2.017408,98.966199
2.017700,98.967256
2.017729,98.967246
2.017440,98.966194
2.017880,98.966098
2.018214,98.966006
2.018586,98.965883
2.018903,98.965731
2.018940,98.965806
2.019214,98.966562
2.019242,98.966552
2.018969,98.965795
2.018930,98.965718
2.019114,98.965614
2.019488,98.966625
2.019026,98.966767
2.019037,98.966800
2.019502,98.966658
2.019565,98.966826
2.019679,98.967170
2.019707,98.967160
2.019596,98.966821
2.019531,98.966647
2.019864,98.966539
2.019862,98.966506
2.019519,98.966616
2.019142,98.965597
2.019196,98.965571
2.019174,98.965545
